Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , ON (secs) , OFF (secs) , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2024-05-31T14:11:00 , 2024-06-07T19:44:00 , A , 017 , Central Pond , 47° 39' 17.130'' N , 122° 17' 34.578'' W , 192000 , Medium , None , None , 300 , 300 , 4.364 , 3.649 , VK , MS , MS , recover-20240607 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-05-31T14:11:00 , 2024-06-07T19:54:00 , K , 004 , Foliage , 47° 39' 18.678'' N , 122° 17' 26.592'' W , 192000 , Medium , None , None , 300 , 300 , 4.127 , 3.627 , VK , MS , MS , recover-20240607 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-05-31T14:11:00 , 2024-06-07T19:30:00 , M , 021 , E18 Bridge , 47° 39' 21.480'' N , 122° 17' 48.750'' W , 192000 , Medium , None , None , 300 , 300 , 4.131 , 3.589 , VK , MS , MS , recover-20240607 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-05-31T14:11:00 , 2024-06-07T20:06:00 , N , 011 , Telephone Field , 47° 39' 25.512'' N , 122° 17' 28.968'' W , 192000 , Medium , None , None , 300 , 300 , 4.209 , 3.545 , VK , MS , MS , recover-20240607 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-07T18:54:00 , 2024-06-13T11:46:00  , C , 001 , E18 Bridge , 47° 39' 21.540'' N , 122° 17' 48.672'' W , 192000 , Medium , None , None , 300 , 300 , 4.154 , 3.746 , AK , MS , MS , recover-20240613 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-07T18:53:00 , 2024-06-13T12:03:00, D , 010 , Central Pond , 47° 39' 16.872'' N , 122° 17' 34.440'' W , 192000 , Medium , None , None , 300 , 300 , 4.139 , 3.812 , AK , MS , MS , recover-20240613 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-07T18:54:00 , 2024-06-13T12:10:00 , G , 018 , Foliage , 47° 39' 18.738'' N , 122° 17' 26.670'' W , 192000 , Medium , None , None , 300 , 300 , 4.352 , 3.757 , AK , MS , MS , recover-20240613 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-07T18:54:00 , 2024-06-13T12:20:00 , I , 012 , Telephone Field , 47° 39' 25.182'' N , 122° 17' 29.388'' W , 192000 , Medium , None , None , 300 , 300 , 4.146 , 3.711 , AK , MS , MS , recover-20240613 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-13T11:09:00 , 2024-06-20T12:59:00  , M , 017 , Telephone Field , 47° 39' 24.888'' N , 122° 17' 29.988'' W , 192000 , Medium , None , None , 300 , 300 , 4.133 , 3.577 , AK , MS , MS , recover-20240620 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-13T11:09:00 , 2024-06-20T12:00:00, L , 021 , E18 Bridge , 47° 39' 22.098'' N , 122° 17' 48.390'' W , 192000 , Medium , None , None , 300 , 300 , 4.141 , 3.609 , AK , MS , MS , recover-20240620 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
